Bill No.,Bill Year,Short Title of Bill,Bill Category,Ministry,Act No.,Date of Introduction,Date of Passing in Rajya Sabha,Date of Passing in Lok Sabha,Date of Assented,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL for Bill Errata
LX,2004,"The Scheduled Castes, Scheduled Tribes and Other Backward Classes (Reservation in Posts and Services) Bill, 2004",Ordinary Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",NA,22/12/2004,NA,NA,NA,Withdrawn,NA,NA,NA
LIV,2004,"The Coastal Aquaculture Authority Bill, 2005",Ordinary Bill,AGRICULTURE,24 of 2005,20/12/2004,3/5/2005,5/5/2005,23/6/2005,Assented,NA,NA,NA
XXXI,2004,"The Displaced Persons Claims and Other Laws Repeal Bill, 2005",Ordinary Bill,HOME AFFAIRS,38 of 2005,6/12/2004,12/8/2005,29/8/2005,5/9/2005,Assented,NA,NA,NA
LVI,2004,"The Prohibition of Child Marriage Bill, 2006",Ordinary Bill,WOMEN AND CHILD DEVELOPMENT,6 of 2007,20/12/2004,14/12/2006,19/12/2006,10/1/2007,Assented,NA,NA,NA
XXXII,2004,"The Credit Information Companies (Regulation) Bill, 2005.",Ordinary Bill,FINANCE,30 of 2005,6/12/2004,9/5/2005,13/5/2005,23/6/2005,Assented,NA,NA,NA
LVIII,2004,"The Railways (Amendment) Bill, 2005.",Ordinary Bill,RAILWAYS,47 of 2005,20/12/2004,22/8/2005,30/8/2005,15/9/2005,Assented,NA,NA,NA
LVII,2004,"The University of Allahabad Bill, 2005.",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,26 of 2005,20/12/2004,6/5/2005,11/5/2005,23/6/2005,Assented,NA,NA,NA
LV,2004,"The Hindu Succession (Amendment) Bill, 2005.",Ordinary Bill,LAW AND JUSTICE,39 of 2005,20/12/2004,16/8/2005,29/8/2005,5/9/2005,Assented,NA,NA,NA
LIX,2004,"The Parel Investment and Trading Private Limited and Domestic Gas Private Limited (Taking Over of Management) Repeal Bill, 2005.",Ordinary Bill,PETROLEUM AND NATURAL GAS,14 of 2005,20/12/2004,17/3/2005,23/3/2005,31/3/2005,Assented,NA,NA,NA
LI,2004,"The Delegated Legislation Provisions (Amendment) Bill, 2004",Ordinary Bill,LAW AND JUSTICE,4 of 2005,7/12/2004,14/12/2004,23/12/2004,11/1/2005,Assented,NA,NA,NA
I,2004,"The University of Allahabad Bill, 2004.",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,4/2/2004,NA,NA,NA,NA,NA,NA,NA
XXXVIII,2003,"The Companies (Amendment) Bill, 2003",Ordinary Bill,CORPORATE AFFAIRS,NA,7/5/2003,NA,NA,NA,Withdrawn,NA,NA,NA
LX,2003,"The Criminal Law (Amendment) Bill, 2005",Ordinary Bill,HOME AFFAIRS,2 of 2004,22/8/2003,13/12/2005,22/12/2005,11/1/2006,Assented,NA,NA,NA
LXXIII,2003,"The Cantonments Bill, 2006",Ordinary Bill,DEFENCE,41 of 2006,22/12/2003,1/8/2006,18/8/2006,13/9/2006,Assented,NA,NA,NA
XXXVII,2003,"The Railways (Amendment) Bill, 2003",Ordinary Bill,RAILWAYS,56 of 2003,2/5/2003,31/7/2003,15/12/2003,30/12/2003,Assented,NA,NA,NA
XXXIX,2003,"The Citizenship (Amendment) Bill, 2003",Ordinary Bill,HOME AFFAIRS,6 of 2004,5/9/2003,18/12/2003,22/12/2003,1/7/2004,Assented,NA,NA,NA
XVIII,2003,"Constitution (Scheduled Tribes) Union Territories) Order (Amendment) Bill, 2003",Ordinary Bill,TRIBAL AFFAIRS,NA,5/3/2003,NA,NA,NA,Withdrawn,NA,NA,NA
XLII,2003,"The Railways (Second Amendmnet) Bill, 2003",Ordinary Bill,RAILWAYS,51 of 2003,5/9/2003,10/12/2003,15/12/2003,23/12/2003,Assented,NA,NA,NA
XLI[[,2003,"The Railway Protection Force (Amendment) Bill, 2003.",Ordinary Bill,RAILWAYS,52 of 2003,9/5/2003,10/12/2003,15/12/2003,23/12/2003,NA,NA,NA,NA
XLI,2003,"The Railway Protection Force (Amendment) Bill, 2003",Ordinary Bill,RAILWAYS,52 of 2003,5/9/2003,12/10/2003,15/12/2003,23/12/2003,Assented,NA,NA,NA
XL,2003,"The Marriage Laws (Amendment) Bill, 2003",Ordinary Bill,NA,NA,5/9/2003,NA,NA,NA,Assented,NA,NA,NA
LXXVIII,2003,"The Company Secretaries ( Amendment) Bill, 2003",Ordinary Bill,COMPANY AFFAIRS,NA,23/12/2003,NA,NA,NA,Withdrawn,NA,NA,NA
LXXVII,2003,"The Cost and Works Accountants (Amendment) Bill, 2003",Ordinary Bill,COMPANY AFFAIRS,NA,23/12/2003,NA,NA,NA,Withdrawn,NA,NA,NA
LXXVI,2003,"The Chartered Accountants ( Amendment ) Bill, 2003",Ordinary Bill,COMPANY AFFAIRS,NA,23/12/2003,NA,NA,NA,Withdrawn,NA,NA,NA
LXXV,2003,"The Arbitration and Conciliation Bill, 2003",Ordinary Bill,LAW AND JUSTICE,NA,22/12/2003,NA,NA,NA,Withdrawn,NA,NA,NA
LXXIV,2003,"The Delegated Legislation Provisions (Amendment) Bill,2003",Ordinary Bill,LAW AND JUSTICE,NA,22/12/2003,NA,NA,NA,Withdrawn,NA,NA,NA
LXVII,2003,"The British Statutes (Repeal) Bill, 2004.",Ordinary Bill,NA,17 of 2004,5/12/2003,8/12/2003,3/2/2004,20/2/2004,Assented,NA,NA,NA
LXVI,2003,"The Electricity (Amendment) Bill, 2003.",Ordinary Bill,POWER,57 of 2003,5/12/2003,8/12/2003,18/12/2003,30/12/2003,NA,NA,NA,NA
LXV,2003,"The Indian Medicine Central Council (Amendment) Bill, 2003.",Ordinance Replacing Bill,HEALTH AND FAMILY WELFARE,58 of 2003,5/12/2003,5/12/2003,19/12/2003,30/12/2003,NA,NA,NA,NA
XXXVI,2002,"The Payment of Wages Labour (Amendment) Bill, 2005.",Ordinary Bill,LABOUR,41 of 2005,16/5/2002,2/12/2004,17/8/2005,5/9/2005,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXXVI_2002.pdf,NA,NA
XXXV,2002,"The Medical Termination of Pregnancy (Amendment) Bill,2002.",Ordinary Bill,HEALTH AND FAMILY WELFARE,64 of 2002,5/6/2002,NA,5/12/2002,18/12/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXXV_2002.pdf,NA,NA
XXV,2002,"The Petroleum ( Berar Extention ) Repeal Bill, 2002",Ordinary Bill,PETROLEUM AND NATURAL GAS,NA,24/4/2002,30/7/2002,NA,NA,NA,NA,NA,NA
XXI,2002,"The Homoeopathy Central Council (Amendment) Bill, 2002.",Ordinary Bill,HEALTH AND FAMILY WELFARE,51 of 2002,24/4/2002,NA,22/11/2002,8/12/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXI_2002.pdf,NA,NA
XVIII,2002,"The Delhi University (Amendment) Bill,2002.",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,43 of 2002,13/3/2002,17/7/2002,30/7/2002,8/12/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XVIII_2002.pdf,NA,NA
XLIX,2002,"The Prevention of Food Adulteration (Extension to Kohima and Mokokchung Districts) Repeal Bill,2002",Ordinary Bill,HEALTH AND FAMILY WELFARE,66 of 2002,17/7/2002,26/7/2002,12/5/2002,18/12/2002,Assented,NA,NA,NA
XIX,2002,"The Passports (Amendment) Bill, 2002",Ordinary Bill,EXTERNAL AFFAIRS,17 of 2002,3/7/2002,3/8/2002,16/3/2002,28/3/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XIX_2002.pdf,NA,NA
LXXXII,2002,"The Code of Civil Proudutre (Amendment) Bill, 2002",Ordinary Bill,NA,22 of 2002,22/12/2000,NA,NA,23/5/2002,Assented,NA,NA,NA
LXXX,2002,"The High Court Judges (Salaries and condition of service) Amendment Bill, 2002",Ordinary Bill,NA,6 of 2003,12/12/2002,16/12/2002,20/12/2002,1/6/2003,Assented,NA,NA,NA
LXVII,2002,"The Countress of Dufferins fund (Repeal) Bill, 2002",Ordinary Bill,HEALTH AND FAMILY WELFARE,65 of 2002,20/11/2002,29/11/2002,12/5/2002,18/12/2002,Assented,NA,NA,NA
LXVI,2002,"The Merchant Shipping (Amendment) Bill, 2002",Ordinary Bill,SHIPPING,63 of 2002,30/7/2002,20/11/2002,3/12/2002,17/12/2002,Assented,NA,NA,NA
LXIV,2002,"The Pre-Natal Diagnostic Techiniques (Regulation and Prevention of Misuse) Amendment Bill, 2002",Ordinary Bill,HEALTH AND FAMILY WELFARE,14 of 2003,25/7/2002,12/11/2002,20/12/2002,17/1/2003,Assented,NA,NA,NA
LIX,2002,"The Indian Medicine Central council ( Amendment) Bill , 2002",Ordinary Bill,HEALTH AND FAMILY WELFARE,53 of 2002,24/7/2002,NA,NA,9/12/2002,Assented,NA,NA,NA
LIII,2002,"The Suppression of Unlawful Acts Against Safety of Maritime Navigation and Fixed Platforms on Continental Shelf Bill,2002",Ordinary Bill,SHIPPING,69 of 2002,18/7/2002,21/11/2002,NA,20/12/2002,Assented,NA,NA,NA
XXXVI,2001,"The Foreign Trade (Development and Regulation) Amendment Bill, 2001",Ordinary Bill,COMMERCE AND INDUSTRY,NA,24/4/2001,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXXVI_2001.pdf,NA,NA
XXXIII,2001,"The Indian Medical Council (Amendment) Bill, 2001",Ordinary Bill,HEALTH AND FAMILY WELFARE,34 of 2001,3/12/2001,8/6/2001,21/8/2001,9/3/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXXIII_2001.pdf,NA,NA
XXX,2001,"The Influx from Pakistan (Control) Repealing (Repeal) Bill, 2001",Ordinary Bill,HOME AFFAIRS,33 of 2001,8/3/2001,6/8/2001,21/8/2001,3/9/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXX_2001.pdf,NA,NA
XXVIII,2001,"The Pre-Natal Diagnostic Techniques (Regulation and Prevention of Misuse) Amendment Bill, 2001",Ordinary Bill,HEALTH AND FAMILY WELFARE,32 of 2001,7/3/2001,6/8/2001,21/8/2001,3/9/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXVIII_2001.pdf,NA,NA
XXV,2001,"The Industrial Disputes (Banking Companies) Decesion (Repeal) Bill, 2001",Ordinary Bill,LABOUR,19 of 2001,3/1/2001,25/4/2001,24/7/2001,8/3/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXV_2001.pdf,NA,NA
XXIX,2001,"The Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Bill, 2001",Ordinary Bill,HEALTH AND FAMILY WELFARE,34 of 2003,3/7/2001,4/9/2003,30/4/2003,18/5/2003,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXIX_2001.pdf,NA,NA
XLVIII,2001,"The Warehousing Corporations (Amendment) Bill, 2001",Ordinary Bill,NA,NA,30/7/2001,NA,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLVIII_2001.pdf,NA,NA
XLVII,2001,"The Sugarcane Cess (Validation) Repeal Bill, 2001",Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",35 of 2001,24/7/2001,8/7/2001,20/8/2001,9/3/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLVII_2001.pdf,NA,NA
XLVI,2001,"The Marriage Laws (Amendment) Bill, 2001",Ordinary Bill,NA,49 of 2001,24/7/2001,22/8/2001,30/8/2001,24/9/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLVI_2001.pdf,NA,NA
XLIX,2001,"The Provisions of the Municipalities (Extension to the Scheduled Areas) Bill, 2001",Ordinary Bill,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,NA,30/7/2001,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLIX_2001.pdf,NA,NA
XLII,2001,"The Consumer Protection (Amendment) Bill, 2001",Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",NA,26/4/2001,NA,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLII_2001.pdf,NA,NA
XL,2001,"The Motor Vehicles (Amendment) Bill, 2001",Ordinary Bill,ROAD TRANSPORT AND HIGHWAYS,39 of 2001,24/4/2001,8/6/2001,29/8/2001,9/11/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XL_2001.pdf,NA,NA
LXXXIII,2001,"The All India Institute of Medical Sciences (Amendment) Bill, 2002",Ordinary Bill,HEALTH AND FAMILY WELFARE,24 of 2002,5/12/2001,10/12/2001,3/5/2002,24/5/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXXIII_2001.pdf,NA,NA
LXXXII,2001,"The Representation of the People (Amendment) Bill, 2003",Ordinary Bill,NA,40 of 2003,5/12/2001,8/4/2003,18/8/2003,28/8/2003,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXXII_2001.pdf,NA,NA
LXXXI,2001,"The National Institute of Pharmaceutical Education and Research (Amendment) Bill, 2002",Ordinary Bill,CHEMICALS AND FERTILIZERS,28 of 2002,28/11/2001,5/8/2002,3/8/2002,27/5/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXXI_2001.pdf,NA,NA
LXXVIII,2001,"The Tea Destricts Immigrant Labour ( Repeal) Repealing Bill,2002",Ordinary Bill,LABOUR,27 of 2002,27/11/2001,3/12/2001,3/5/2002,27/5/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXVIII_2001.pdf,NA,NA
LXXVI,2001,"The Coast Guard Defence (Amendment) Bill, 2001",Ordinary Bill,DEFENCE,44 of 2002,28/11/2001,17/7/2002,8/1/2002,8/12/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXVI_2001.pdf,NA,NA
LXXV,2001,"The Passports (Amendment) Bill, 2001",Ordinary Bill,EXTERNAL AFFAIRS,NA,22/11/2001,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXV_2001.pdf,NA,NA
LXXIX,2001,"The Institute of Technology (Amendment) Bill, 2001",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,16 of 2002,27/11/2001,3/8/2002,16/3/2002,28/3/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXIX_2001.pdf,NA,NA
LXXIV,2001,"The Indian Succession ( Amendment) Bill, 2002",Ordinary Bill,NA,26 of 2002,22/11/2001,NA,3/5/2002,27/5/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXIV_2001.pdf,NA,NA
LXXIII,2001,"The St. John Ambulance Association (India) Transfer of Funds Repeal Bill, 2002",Ordinary Bill,HEALTH AND FAMILY WELFARE,21 of 2002,21/11/2001,3/12/2001,3/5/2002,23/5/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXIII_2001.pdf,NA,NA
LV,2001,"The Inland Waterways Authority of India (Amendment) Bill, 2001",Ordinary Bill,WATER RESOURCES,40 of 2001,27/8/2001,29/8/2001,30/8/2001,9/11/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LV_2001.pdf,NA,NA
LIV,2001,"The Code of Criminal Procedure (Amendment) Bill, 2001",Ordinary Bill,HOME AFFAIRS,50 of 2001,8/7/2001,23/8/2001,30/8/2001,24/9/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LIV_2001.pdf,NA,NA
LI,2001,"The Railways Companies (Substitution of Parties in Civil Proceedings) Repeal Bill, 2001",Ordinary Bill,RAILWAYS,25 of 2001,8/1/2001,8/6/2001,20/8/2001,29/8/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LI_2001.pdf,NA,NA
L,2001,"The Indian Railways Companies (Repeal) Bill, 2001",Ordinary Bill,RAILWAYS,24 of 2001,8/1/2001,8/6/2001,20/8/2001,29/8/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/L_2001.pdf,NA,NA
XXXI,2000,"The Chemical Weapons Convention Bill, 2000",Ordinary Bill,CHEMICALS AND FERTILIZERS,34 of 2000,15/5/2000,26/7/2000,16/8/2000,26/8/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXXI_2000.pdf,NA,NA
XXX,2000,"The Trade Union (Amendment) Bill, 2001",Ordinary Bill,LABOUR,31 of 2001,28/4/2000,8/2/2001,24/8/2001,9/3/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXX_2000.pdf,NA,NA
XXVI,2000,"The Coal Mines (Nationalisation) Amendment Bill, 2000",Ordinary Bill,NA,NA,24/4/2000,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXVI_2000.pdf,NA,NA
XXV,2000,"The Delhi University (Amendment) Bill, 2000",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,18/4/2000,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXV_2000.pdf,NA,NA
XX,2000,"The National Housing Bank (Amendment) Bill, 2000",Ordinary Bill,NA,15 of 2000,16/3/2000,5/10/2000,5/12/2000,24/5/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XX_2000.pdf,NA,NA
XVIII,2000,"The Sugarcane Control (Additional Powers) Repeal Bill, 2000",Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",13 of 2000,14/3/2000,17/4/2000,5/8/2000,5/12/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XVIII_2000.pdf,NA,NA
XLVIII,2000,"The All India Institute of Medical Sciences (Amendment) Bill, 2000",Ordinary Bill,HEALTH AND FAMILY WELFARE,33 of 2000,8/1/2000,8/3/2000,16/8/2000,25/8/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLVIII_2000.pdf,NA,NA
XLVII,2000,"The Workmens` Compensation (Amendment) Bill, 2000",Ordinary Bill,LABOUR,46 of 2000,8/1/2000,22/8/2000,28/11/2000,12/8/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLVII_2000.pdf,NA,NA
XLIX,2000,"The Multimodal Transportation of Goods (Amendment) Bill, 2000",Ordinary Bill,NA,44 of 2000,8/7/2000,22/8/2000,24/11/2000,12/5/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLIX_2000.pdf,NA,NA
XIX,2000,"The Indian Power Alcohol (Repeal) Bill, 2000",Ordinary Bill,CHEMICALS AND FERTILIZERS,32 of 2000,15/3/2000,26/7/2000,16/8/2000,25/8/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XIX_2000.pdf,NA,NA
XII,2000,"The Aquaculture Authority Bill, 2000",Ordinary Bill,AGRICULTURE,NA,28/2/2000,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XII_2000.pdf,NA,NA
XI,2000,"The Food Corporations (Amendment) Bill, 2000",Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",12 of 2000,28/2/2000,17/4/2000,5/8/2000,5/12/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XI_2000.pdf,NA,NA
LXXXVIII,2000,"The Rehabilitation Council of India (Amendment) Bill, 2000",Ordinary Bill,SOCIAL JUSTICE AND EMPOWERMENT,38 of 2000,5/2/2000,8/10/2000,25/8/2000,9/4/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXXVIII_2000.pdf,NA,NA
LXXXII,2000,"The Code of Civil Procedure ( Amendment) Bill, 2002",Ordinary Bill,NA,22 of 2002,22/12/2000,5/8/2002,13/5/2002,23/5/2002,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXXII_2000.pdf,NA,NA
LXXXI,2000,"The Post Graduate Institute of Medical Education and Research, Chandigarh (Amendment) Bill, 2001",Ordinary Bill,HEALTH AND FAMILY WELFARE,18 of 2001,20/12/2000,12/3/2001,24/7/2001,3/8/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXXI_2000.pdf,NA,NA
LXXX,2000,"The U.P. Sugarcane Cess (Validation) Repeal Bill, 2001",Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",17 of 2001,20/12/2000,25/4/2001,24/7/2001,8/3/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXX_2000.pdf,NA,NA
LXXVII,2000,"The Vaccination (Repeal) Bill, 2001",Ordinary Bill,HEALTH AND FAMILY WELFARE,16 of 2001,15/12/2000,3/12/2001,24/7/2001,8/3/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXVII_2000.pdf,NA,NA
LXXVI,2000,"The Indian Divorce (Amendment) Bill, 2001",Ordinary Bill,NA,51 of 2001,15/12/2000,27/8/2001,30/8/2001,24/9/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXVI_2000.pdf,NA,NA
LXXIX,2000,"The Haj Committee Bill, 2000",Ordinary Bill,EXTERNAL AFFAIRS,NA,15/12/2000,NA,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXIX_2000.pdf,NA,NA
LXXII,2000,"The Judicial Administration Laws (Repeal) Bill, 2000",Ordinary Bill,NA,22 of 2001,24/11/2000,22/8/2001,3/2/2001,29/8/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXII_2000.pdf,NA,NA
LXXI,2000,"The Chit-Funds (Amendment) Bill, 2001",Ordinary Bill,NA,10 of 2001,24/11/2000,19/12/2000,22/2/2001,9/5/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXXI_2000.pdf,NA,NA
LIII,2000,"The Indian Universities (Repeal) Bill, 2000",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,36 of 2001,22/8/2000,21/11/2000,22/2/2001,9/4/2001,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LIII_2000.pdf,NA,NA
LII,2000,"The Forfeiture (Repeal) Bill, 2000",Ordinary Bill,HOME AFFAIRS,48 of 2000,17/8/2000,21/8/2000,28/11/2000,12/8/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LII_2000.pdf,NA,NA
LI,2000,"The Passport (Entry into India) Amendment Bill, 2000",Ordinary Bill,HOME AFFAIRS,47 of 2000,8/11/2000,21/8/2000,28/11/2000,12/8/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LI_2000.pdf,NA,NA
L,2000,"The Semiconductor Integrated Circuits Layout Design Bill, 2000",Ordinary Bill,INFORMATION AND BROADCASTING,37 of 2000,20/12/1999,15/5/2000,16/8/2000,9/4/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/L_2000.pdf,NA,NA
XXXVIII,1999,"The Administrators General (Amendment) Bill, 1999",Ordinary Bill,NA,34 of 1999,30/11/1999,12/1/1999,12/10/1999,16/12/1999,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXXVIII_1999.pdf,NA,NA
XXXVII,1999,"The Marriage Laws (Amendment) Bill, 1999",Ordinary Bill,NA,39 of 1999,30/11/1999,12/1/1999,20/12/1999,29/12/1999,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXXVII_1999.pdf,NA,NA
XXXVI,1999,"The Indian Majority (Amendment) Bill, 1999",Ordinary Bill,NA,33 of 1999,30/11/1999,1/12/1999,10/12/1999,16/12/1999,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXXVI_1999.pdf,NA,NA
XXXIII,1999,"The Trade Marks Bill, 1999",Ordinary Bill,COMMERCE AND INDUSTRY,47 of 1999,12/1/1999,16/12/1999,22/12/1999,30/12/1999,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXXIII_1999.pdf,NA,NA
XLVIII,1999,"The Repealing and Amending Bill, 1999",Ordinary Bill,NA,NA,21/12/1999,NA,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLVIII_1999.pdf,NA,NA
XLVII,1999,"The Constitution (Eighty-seventh (Amendment) Bill, 1999",Constitutional Amendment Bill,RURAL DEVELOPMENT,NA,17/12/1999,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLVII_1999.pdf,NA,NA
XLVI,1999,"The Constitution (Eighty-sixth Amendment) Bill, 1999",Constitutional Amendment Bill,RURAL DEVELOPMENT,NA,17/12/1999,17/8/2000,22/8/2000,9/8/2000,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLVI_1999.pdf,NA,NA
XLV,1999,"The Copyright (Amendment) Bill, 1999",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,49 of 1999,14/12/1999,17/12/1999,22/12/1999,30/12/1999,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLV_1999.pdf,NA,NA
XLIX,1999,"The Patents (Amendment) Bill, 2002",Ordinary Bill,COMMERCE AND INDUSTRY,38 of 2002,20/12/1999,9/5/2002,14/5/2002,25/6/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLIX_1999.pdf,NA,NA
XLIV,1999,"The Designs Bill, 2000.",Ordinary Bill,COMMERCE AND INDUSTRY,16 of 2000,13/12/1999,15/5/2000,28/4/2000,25/5/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLIV_1999.pdf,NA,NA
XLIII,1999,"The Central Industrial Security Force (Amendment and Validation) Bill, 1999",Ordinary Bill,HOME AFFAIRS,40 of 1999,30/12/1999,12/3/1999,20/12/1999,29/12/1999,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLIII_1999.pdf,NA,NA
XLII,1999,"The Special Protection Group (Amendment) Bill, 1999",Ordinary Bill,HOME AFFAIRS,35 of 1999,12/3/1999,12/3/1999,12/9/1999,16/12/1999,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLII_1999.pdf,NA,NA
XLI,1999,"The Geographical Indications of Goods (Registration and Protection) Bill, 1999",Ordinary Bill,NA,48 of 1999,12/3/1999,16/12/1999,22/12/1999,30/12/1999,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLI_1999.pdf,NA,NA
V,1999,"The Army & Air Force (Disposal of Private Property) Amendment Bill, 2000",Ordinary Bill,DEFENCE,31 of 2000,25/2/1999,26/7/2000,16/8/2000,25/8/2000,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/V_1999.pdf,NA,NA
LIV,1999,"The Constitution (Eighty-eighth Amendment) Bill, 1999",Constitutional Amendment Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",NA,23/12/1999,17/8/2000,22/8/2000,9/8/2000,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LIV_1999.pdf,NA,NA
